,Name,X_center,Y_center,Radius
123,MCELS-L128,9432.1691,7338.6924,12.500000
124,MCELS-L129,9401.9152,10856.478,82.583500
125,MCELS-L130,9252.6053,4795.9682,8.2880000
126,MCELS-L131,9233.9866,4813.6609,12.500000
127,MCELS-L132,9218.4818,4832.1196,9.7100000
128,MCELS-L133,9331.3678,10588.282,93.940500
129,MCELS-L134,9205.4722,4912.3206,9.0725000
130,MCELS-L135,9200.2240,4928.0170,9.0605000
131,MCELS-L136,9198.7376,4898.4766,7.6150000
132,MCELS-L137,9168.8140,5003.2806,37.231500
133,MCELS-L138,9282.0215,10994.045,73.911000
134,MCELS-L139,9167.4199,7402.4437,71.043000
135,MCELS-L140,9139.6929,6784.4530,17.484500
136,MCELS-L141,9181.1683,10210.242,21.458000
137,MCELS-L142,9044.8317,3196.5998,55.772500
138,MCELS-L143,9113.5661,6818.9208,28.178500
139,MCELS-L144,9105.4040,6783.6002,5.5865000
140,MCELS-L145,9099.1441,7135.2400,13.519500
141,MCELS-L146,9061.8775,6921.5519,76.245000
142,MCELS-L147,9061.2881,6781.8646,22.594500
143,MCELS-L148,9098.8720,10502.372,157.83950
144,MCELS-L149,9032.5505,6765.7387,20.144500
145,MCELS-L150,9083.6740,10269.941,95.121500
146,MCELS-L151,9018.7782,6485.5006,115.33550
147,MCELS-L152,9076.6529,10823.345,153.67400
148,MCELS-L153,8960.4917,5433.2256,12.500000
149,MCELS-L154,8956.4022,10034.395,182.85150
150,MCELS-L155,8812.6441,2746.9075,143.42250
151,MCELS-L156,8875.2484,6650.2720,110.82750
152,MCELS-L157,8866.0511,12020.352,51.588500
153,MCELS-L158,8787.8639,6156.2726,27.454500
154,MCELS-L159,8789.5430,10455.036,31.519000
155,MCELS-L160,8790.2440,11602.412,46.971000
156,MCELS-L161,8545.0948,5876.4257,21.752000
157,MCELS-L162,8566.7592,10472.270,29.076000
158,MCELS-L163,8565.5408,12854.494,78.336500
159,MCELS-L165,8406.0028,3403.2666,58.226000
160,MCELS-L166,8419.1801,6728.9573,165.70850
161,MCELS-L167,8400.8121,7860.5780,37.117000
162,MCELS-L168,8401.7866,9416.3808,56.981500
163,MCELS-L169,8400.8176,10448.414,131.38850
164,MCELS-L170,8411.9915,12827.015,81.075000
165,MCELS-L171,8316.8320,7127.0688,257.03050
166,MCELS-L171,8316.8320,7127.0688,257.03050
167,MCELS-L172,8302.4837,12959.130,135.27350
168,MCELS-L173,8301.2492,6271.1860,16.395500
169,MCELS-L174,8248.3641,10913.895,84.282000
170,MCELS-L175,8258.6395,6292.9522,27.117500
171,MCELS-L176,8202.3945,6236.2194,95.444000
172,MCELS-L177,8124.7786,6300.8368,8.6075000
173,MCELS-L178,8048.4115,13325.361,286.88400
174,MCELS-L179,7945.2179,12002.381,53.259000
175,MCELS-L180,7968.1359,11256.898,67.077000
176,MCELS-L181,7935.6352,9249.3198,38.894000
177,MCELS-L182,7927.8496,11480.520,39.079000
178,MCELS-L183,7896.3532,11405.119,17.890500
179,MCELS-L184,7883.1850,13829.133,216.87400
180,MCELS-L185,7960.0426,2563.1813,8.7370000
181,MCELS-L186,7932.3208,2609.9131,14.610000
182,MCELS-L187,7786.1030,11450.119,14.590000
183,MCELS-L188,7849.2290,6239.5925,23.985500
184,MCELS-L190,7805.8291,7705.0375,20.882000
185,MCELS-L191,7785.6717,8948.1413,38.635500
186,MCELS-L192,7808.3281,6244.9260,21.329500
187,MCELS-L193,7753.6047,9670.0597,12.500000
188,MCELS-L194,7822.3318,9388.8970,88.793500
